RecordType,Field1,Field2,Field3,Field4,Field5,PartNumber,Quantity,Field8,Date,Price,Field11,Field12,VendorName
8888RTV,0,5773456,196,5212,1,CB110,8,817,20260123,8.68,11347814,8996,ADI
8888RTV,0,5773456,91,5503,2,ANO-L7012R,4,800,20260123,57.64,11358152,8996,ADI
8888RTV,0,5773456,367,5549,1,PA-75-W,2,835,20260126,.14,11360214,8996,ADI
8888RTV,0,5770345,30,4518,3,ADC-AC-FOB-60H8,2,817,20260126,81.25,11358974,220865,ALARM.COM INC
8888RTV,0,5773456,355,5663,1,300-03865,1,836,20260126,10.51,11363510,8996,ADI
8888RTV,0,5773456,404,5543,2,ANV-L7082R,4,829,20260128,85.15,11360129,8996,ADI
8888RTV,0,5773456,157,5719,1,XRN-420S-4TB,1,723,20260128,405.38,11366353,8996,ADI
8888RTV,0,5770462,5,2967,1,494463,10000,829,20260129,.09509375,11370754,6332,PAIGE ELECTRIC CO LP
8888RTV,0,5773456,279,5150,2,ANV-L7012R,10,688,20260129,57.64,11346757,8996,ADI
8888RTV,0,5770462,1,2966,3,487343,7500,573,20260129,.0826285714285714,11369464,6332,PAIGE ELECTRIC CO LP
8888RTV,0,5770426,33,1559,1,B-ACS300-E-B,1,239,20260123,495,11358258,191253,BRIVO SYSTEMS LLC
8888RTV,0,5773456,91,5553,1,ANO-L7012R,2,824,20260123,57.64,11360221,8996,ADI
8888RTV,0,5770345,74,4526,3,ADC-AC-X100,2,185,20260127,269,11360256,220865,ALARM.COM INC
8888RTV,0,5773456,177,5677,1,ECR2450BP,26,612,20260127,2.06,11364392,8996,ADI
8888RTV,0,5773456,59,5756,1,QND-7012R,3,688,20260128,129.53,11366805,8996,ADI
8888RTV,0,5770345,15,4564,1,ADC-V724X,1,316,20260129,104.26,11366946,220865,ALARM.COM INC
8888RTV,0,5773456,177,5792,1,ECR2450BP,27,608,20260129,2.06,11368864,8996,ADI
8888RTV,0,5773456,7,5852,1,ARN-410S-2TB,1,324,20260129,248.91,11371002,8996,ADI
8888RTV,0,5770426,33,1620,1,B-ACS300-E-B,5,821,20260129,495,11373285,191253,BRIVO SYSTEMS LLC
8888RTV,0,5773456,279,5260,2,ANV-L7012R,9,480,20260123,57.64,11349669,8996,ADI
8888RTV,0,5773456,393,5510,4,ARN-810S-2TB,1,834,20260123,277.95,11358189,8996,ADI
8888RTV,0,5773456,59,5646,1,QND-7012R,6,842,20260126,129.53,11362769,8996,ADI
8888RTV,0,5770457,36,1380,1,20KTKS-02-000000,2,688,20260126,291.65,11362262,7092,HID GLOBAL
8888RTV,0,5770345,61,4435,4,MYQ-821LMC-SMC,10,501,20260126,42.5,11346986,220865,ALARM.COM INC
8888RTV,0,5770426,12,1581,1,B-ACS6100R-E,1,232,20260126,1016.18,11363086,191253,BRIVO SYSTEMS LLC
8888RTV,0,5773456,7,5728,1,ARN-410S-2TB,1,888,20260127,248.91,11366464,8996,ADI
8888RTV,0,5773456,279,5724,2,ANV-L7012R,5,686,20260127,57.64,11366414,8996,ADI
8888RTV,0,5770426,5,1568,1,B-ACS6000-MBE,1,782,20260128,957.78,11360205,191253,BRIVO SYSTEMS LLC
8888RTV,0,5770426,12,1576,1,B-ACS6100R-E,1,459,20260128,1016.18,11362742,191253,BRIVO SYSTEMS LLC
8888RTV,0,5773456,162,5627,1,XRN-1620SB1-4TB,1,480,20260129,790.61,11362391,8996,ADI
8888RTV,0,5770345,2,4544,1,ADC-AC-ET10,2,646,20260129,143.15,11364344,220865,ALARM.COM INC
8888RTV,0,5773456,66,5788,2,DC4811,4,821,20260129,15.73,11368874,8996,ADI
8888RTV,0,5773456,279,5829,1,ANV-L7012R,1,682,20260129,57.64,11370730,8996,ADI
8888RTV,0,5773456,311,5615,4,QNV-C9011R,2,603,20260123,212.55,11362307,8996,ADI
8888RTV,0,5773456,148,5376,1,AL624ET,1,238,20260123,77.88,11353566,8996,ADI
8888RTV,0,5773456,43,5604,1,XRN-820S-4TB,1,267,20260126,572.87,11362206,8996,ADI
8888RTV,0,5615672,51,1146,1,PG9911B BATT,12,503,20260127,115.41,11358612,29905,TYCO SAFETY PRODUCTS CANADA LTD
8888RTV,0,5773456,81,5723,1,XRN-820S-2TB,1,686,20260127,498.43,11366408,8996,ADI
8888RTV,0,5770345,2,4535,1,ADC-AC-ET10,2,379,20260127,143.15,11362303,220865,ALARM.COM INC
8888RTV,0,5770426,33,1579,1,B-ACS300-E-B,1,137,20260127,495,11363003,191253,BRIVO SYSTEMS LLC
